Test case length,Covered states,Covered transitions,Number of All_Mutants,Number of killed All_Mutants OracleOutput,Mutation score All_Mutants OracleOutput,Number of killed All_Mutants OracleState,Mutation score All_Mutants OracleState,Number of killed All_Mutants OracleOutputAndState,Mutation score All_Mutants OracleOutputAndState,Number of killed All_Mutants OracleW,Mutation score All_Mutants OracleW,Number of CIS_Mutant,Number of killed CIS_Mutant OracleOutput,Mutation score CIS_Mutant OracleOutput,Number of killed CIS_Mutant OracleState,Mutation score CIS_Mutant OracleState,Number of killed CIS_Mutant OracleOutputAndState,Mutation score CIS_Mutant OracleOutputAndState,Number of killed CIS_Mutant OracleW,Mutation score CIS_Mutant OracleW,Number of CI_Mutant,Number of killed CI_Mutant OracleOutput,Mutation score CI_Mutant OracleOutput,Number of killed CI_Mutant OracleState,Mutation score CI_Mutant OracleState,Number of killed CI_Mutant OracleOutputAndState,Mutation score CI_Mutant OracleOutputAndState,Number of killed CI_Mutant OracleW,Mutation score CI_Mutant OracleW,Number of DI_Mutant,Number of killed DI_Mutant OracleOutput,Mutation score DI_Mutant OracleOutput,Number of killed DI_Mutant OracleState,Mutation score DI_Mutant OracleState,Number of killed DI_Mutant OracleOutputAndState,Mutation score DI_Mutant OracleOutputAndState,Number of killed DI_Mutant OracleW,Mutation score DI_Mutant OracleW,Number of II_Mutant,Number of killed II_Mutant OracleOutput,Mutation score II_Mutant OracleOutput,Number of killed II_Mutant OracleState,Mutation score II_Mutant OracleState,Number of killed II_Mutant OracleOutputAndState,Mutation score II_Mutant OracleOutputAndState,Number of killed II_Mutant OracleW,Mutation score II_Mutant OracleW,Number of CO_Mutant,Number of killed CO_Mutant OracleOutput,Mutation score CO_Mutant OracleOutput,Number of killed CO_Mutant OracleState,Mutation score CO_Mutant OracleState,Number of killed CO_Mutant OracleOutputAndState,Mutation score CO_Mutant OracleOutputAndState,Number of killed CO_Mutant OracleW,Mutation score CO_Mutant OracleW,Number of DO_Mutant,Number of killed DO_Mutant OracleOutput,Mutation score DO_Mutant OracleOutput,Number of killed DO_Mutant OracleState,Mutation score DO_Mutant OracleState,Number of killed DO_Mutant OracleOutputAndState,Mutation score DO_Mutant OracleOutputAndState,Number of killed DO_Mutant OracleW,Mutation score DO_Mutant OracleW,Number of IO_Mutant,Number of killed IO_Mutant OracleOutput,Mutation score IO_Mutant OracleOutput,Number of killed IO_Mutant OracleState,Mutation score IO_Mutant OracleState,Number of killed IO_Mutant OracleOutputAndState,Mutation score IO_Mutant OracleOutputAndState,Number of killed IO_Mutant OracleW,Mutation score IO_Mutant OracleW,Number of CSS_Mutant,Number of killed CSS_Mutant OracleOutput,Mutation score CSS_Mutant OracleOutput,Number of killed CSS_Mutant OracleState,Mutation score CSS_Mutant OracleState,Number of killed CSS_Mutant OracleOutputAndState,Mutation score CSS_Mutant OracleOutputAndState,Number of killed CSS_Mutant OracleW,Mutation score CSS_Mutant OracleW,Number of CES_Mutant,Number of killed CES_Mutant OracleOutput,Mutation score CES_Mutant OracleOutput,Number of killed CES_Mutant OracleState,Mutation score CES_Mutant OracleState,Number of killed CES_Mutant OracleOutputAndState,Mutation score CES_Mutant OracleOutputAndState,Number of killed CES_Mutant OracleW,Mutation score CES_Mutant OracleW,Number of RT_Mutant,Number of killed RT_Mutant OracleOutput,Mutation score RT_Mutant OracleOutput,Number of killed RT_Mutant OracleState,Mutation score RT_Mutant OracleState,Number of killed RT_Mutant OracleOutputAndState,Mutation score RT_Mutant OracleOutputAndState,Number of killed RT_Mutant OracleW,Mutation score RT_Mutant OracleW,Number of DT_Mutant,Number of killed DT_Mutant OracleOutput,Mutation score DT_Mutant OracleOutput,Number of killed DT_Mutant OracleState,Mutation score DT_Mutant OracleState,Number of killed DT_Mutant OracleOutputAndState,Mutation score DT_Mutant OracleOutputAndState,Number of killed DT_Mutant OracleW,Mutation score DT_Mutant OracleW,Number of IT_Mutant,Number of killed IT_Mutant OracleOutput,Mutation score IT_Mutant OracleOutput,Number of killed IT_Mutant OracleState,Mutation score IT_Mutant OracleState,Number of killed IT_Mutant OracleOutputAndState,Mutation score IT_Mutant OracleOutputAndState,Number of killed IT_Mutant OracleW,Mutation score IT_Mutant OracleW,Number of DS_Mutant,Number of killed DS_Mutant OracleOutput,Mutation score DS_Mutant OracleOutput,Number of killed DS_Mutant OracleState,Mutation score DS_Mutant OracleState,Number of killed DS_Mutant OracleOutputAndState,Mutation score DS_Mutant OracleOutputAndState,Number of killed DS_Mutant OracleW,Mutation score DS_Mutant OracleW,Number of IDSS_Mutant,Number of killed IDSS_Mutant OracleOutput,Mutation score IDSS_Mutant OracleOutput,Number of killed IDSS_Mutant OracleState,Mutation score IDSS_Mutant OracleState,Number of killed IDSS_Mutant OracleOutputAndState,Mutation score IDSS_Mutant OracleOutputAndState,Number of killed IDSS_Mutant OracleW,Mutation score IDSS_Mutant OracleW,Number of IDES_Mutant,Number of killed IDES_Mutant OracleOutput,Mutation score IDES_Mutant OracleOutput,Number of killed IDES_Mutant OracleState,Mutation score IDES_Mutant OracleState,Number of killed IDES_Mutant OracleOutputAndState,Mutation score IDES_Mutant OracleOutputAndState,Number of killed IDES_Mutant OracleW,Mutation score IDES_Mutant OracleW
2,2,2,3618,99,0.027363185,123,0.033996683,133,0.03676064,420,0.11608624,9,9,1,8,0.8888889,9,1,9,1,900,26,0.028888889,34,0.037777778,34,0.037777778,80,0.08888889,100,14,0.14,17,0.17,17,0.17,27,0.27,0,0,NaN,0,NaN,0,NaN,0,NaN,300,6,0.02,0,0,6,0.02,36,0.12,100,2,0.02,0,0,2,0.02,12,0.12,0,0,NaN,0,NaN,0,NaN,0,NaN,900,31,0.034444444,35,0.03888889,36,0.04,198,0.22,900,4,0.0044444446,18,0.02,18,0.02,18,0.02,100,3,0.03,3,0.03,3,0.03,19,0.19,100,2,0.02,2,0.02,2,0.02,12,0.12,0,0,NaN,0,NaN,0,NaN,0,NaN,9,2,0.22222222,2,0.22222222,2,0.22222222,7,0.7777778,100,0,0,2,0.02,2,0.02,2,0.02,100,0,0,2,0.02,2,0.02,0,0
2,2,2,3618,118,0.032614704,116,0.032061912,133,0.03676064,426,0.11774461,9,9,1,8,0.8888889,9,1,9,1,900,32,0.035555556,30,0.033333335,34,0.037777778,90,0.1,100,16,0.16,15,0.15,17,0.17,27,0.27,0,0,NaN,0,NaN,0,NaN,0,NaN,300,6,0.02,0,0,6,0.02,36,0.12,100,2,0.02,0,0,2,0.02,12,0.12,0,0,NaN,0,NaN,0,NaN,0,NaN,900,36,0.04,34,0.037777778,36,0.04,193,0.21444444,900,9,0.01,18,0.02,18,0.02,18,0.02,100,3,0.03,3,0.03,3,0.03,22,0.22,100,2,0.02,2,0.02,2,0.02,12,0.12,0,0,NaN,0,NaN,0,NaN,0,NaN,9,2,0.22222222,2,0.22222222,2,0.22222222,5,0.5555556,100,1,0.01,2,0.02,2,0.02,2,0.02,100,0,0,2,0.02,2,0.02,0,0
2,2,2,3618,115,0.031785518,117,0.03233831,134,0.037037037,427,0.118021004,9,8,0.8888889,8,0.8888889,9,1,9,1,900,32,0.035555556,30,0.033333335,34,0.037777778,90,0.1,100,16,0.16,15,0.15,17,0.17,27,0.27,0,0,NaN,0,NaN,0,NaN,0,NaN,300,6,0.02,0,0,6,0.02,36,0.12,100,2,0.02,0,0,2,0.02,12,0.12,0,0,NaN,0,NaN,0,NaN,0,NaN,900,34,0.037777778,34,0.037777778,36,0.04,193,0.21444444,900,8,0.008888889,18,0.02,18,0.02,18,0.02,100,4,0.04,4,0.04,4,0.04,23,0.23,100,2,0.02,2,0.02,2,0.02,12,0.12,0,0,NaN,0,NaN,0,NaN,0,NaN,9,2,0.22222222,2,0.22222222,2,0.22222222,5,0.5555556,100,1,0.01,2,0.02,2,0.02,2,0.02,100,0,0,2,0.02,2,0.02,0,0
2,2,2,3618,112,0.03095633,123,0.033996683,135,0.03731343,417,0.11525705,9,9,1,8,0.8888889,9,1,9,1,900,30,0.033333335,36,0.04,36,0.04,94,0.104444444,100,15,0.15,18,0.18,18,0.18,28,0.28,0,0,NaN,0,NaN,0,NaN,0,NaN,300,6,0.02,0,0,6,0.02,36,0.12,100,2,0.02,0,0,2,0.02,12,0.12,0,0,NaN,0,NaN,0,NaN,0,NaN,900,33,0.036666665,31,0.034444444,34,0.037777778,180,0.2,900,8,0.008888889,18,0.02,18,0.02,18,0.02,100,4,0.04,4,0.04,4,0.04,19,0.19,100,2,0.02,2,0.02,2,0.02,12,0.12,0,0,NaN,0,NaN,0,NaN,0,NaN,9,2,0.22222222,2,0.22222222,2,0.22222222,7,0.7777778,100,1,0.01,2,0.02,2,0.02,2,0.02,100,0,0,2,0.02,2,0.02,0,0
2,2,2,3618,112,0.03095633,126,0.03482587,136,0.03758983,427,0.118021004,9,8,0.8888889,8,0.8888889,9,1,9,1,900,32,0.035555556,36,0.04,36,0.04,98,0.10888889,100,16,0.16,18,0.18,18,0.18,28,0.28,0,0,NaN,0,NaN,0,NaN,0,NaN,300,6,0.02,0,0,6,0.02,36,0.12,100,2,0.02,0,0,2,0.02,12,0.12,0,0,NaN,0,NaN,0,NaN,0,NaN,900,33,0.036666665,35,0.03888889,36,0.04,183,0.20333333,900,7,0.007777778,18,0.02,18,0.02,18,0.02,100,3,0.03,3,0.03,3,0.03,21,0.21,100,2,0.02,2,0.02,2,0.02,12,0.12,0,0,NaN,0,NaN,0,NaN,0,NaN,9,2,0.22222222,2,0.22222222,2,0.22222222,8,0.8888889,100,1,0.01,2,0.02,2,0.02,2,0.02,100,0,0,2,0.02,2,0.02,0,0
2,2,2,3618,110,0.030403538,126,0.03482587,137,0.037866224,444,0.122719735,9,8,0.8888889,8,0.8888889,9,1,9,1,900,30,0.033333335,36,0.04,36,0.04,106,0.11777778,100,15,0.15,18,0.18,18,0.18,28,0.28,0,0,NaN,0,NaN,0,NaN,0,NaN,300,6,0.02,0,0,6,0.02,36,0.12,100,2,0.02,0,0,2,0.02,12,0.12,0,0,NaN,0,NaN,0,NaN,0,NaN,900,33,0.036666665,34,0.037777778,36,0.04,194,0.21555555,900,7,0.007777778,18,0.02,18,0.02,18,0.02,100,4,0.04,4,0.04,4,0.04,21,0.21,100,2,0.02,2,0.02,2,0.02,12,0.12,0,0,NaN,0,NaN,0,NaN,0,NaN,9,2,0.22222222,2,0.22222222,2,0.22222222,6,0.6666667,100,1,0.01,2,0.02,2,0.02,2,0.02,100,0,0,2,0.02,2,0.02,0,0
2,2,2,3618,105,0.02902156,121,0.03344389,135,0.03731343,441,0.121890545,9,9,1,8,0.8888889,9,1,9,1,900,28,0.031111112,34,0.037777778,36,0.04,106,0.11777778,100,14,0.14,17,0.17,18,0.18,28,0.28,0,0,NaN,0,NaN,0,NaN,0,NaN,300,6,0.02,0,0,6,0.02,36,0.12,100,2,0.02,0,0,2,0.02,12,0.12,0,0,NaN,0,NaN,0,NaN,0,NaN,900,33,0.036666665,34,0.037777778,36,0.04,194,0.21555555,900,6,0.006666667,18,0.02,18,0.02,18,0.02,100,2,0.02,2,0.02,2,0.02,19,0.19,100,2,0.02,2,0.02,2,0.02,12,0.12,0,0,NaN,0,NaN,0,NaN,0,NaN,9,2,0.22222222,2,0.22222222,2,0.22222222,5,0.5555556,100,1,0.01,2,0.02,2,0.02,2,0.02,100,0,0,2,0.02,2,0.02,0,0
2,2,2,3618,100,0.027639579,125,0.034549475,135,0.03731343,430,0.118850194,9,9,1,8,0.8888889,9,1,9,1,900,28,0.031111112,36,0.04,36,0.04,92,0.10222222,100,14,0.14,18,0.18,18,0.18,28,0.28,0,0,NaN,0,NaN,0,NaN,0,NaN,300,6,0.02,0,0,6,0.02,36,0.12,100,2,0.02,0,0,2,0.02,12,0.12,0,0,NaN,0,NaN,0,NaN,0,NaN,900,31,0.034444444,35,0.03888889,36,0.04,194,0.21555555,900,4,0.0044444446,18,0.02,18,0.02,18,0.02,100,2,0.02,2,0.02,2,0.02,22,0.22,100,2,0.02,2,0.02,2,0.02,12,0.12,0,0,NaN,0,NaN,0,NaN,0,NaN,9,2,0.22222222,2,0.22222222,2,0.22222222,5,0.5555556,100,0,0,2,0.02,2,0.02,2,0.02,100,0,0,2,0.02,2,0.02,0,0
2,2,2,3618,107,0.029574351,124,0.03427308,138,0.03814262,423,0.11691542,9,8,0.8888889,8,0.8888889,9,1,9,1,900,28,0.031111112,34,0.037777778,36,0.04,82,0.09111111,100,14,0.14,17,0.17,18,0.18,28,0.28,0,0,NaN,0,NaN,0,NaN,0,NaN,300,6,0.02,0,0,6,0.02,36,0.12,100,2,0.02,0,0,2,0.02,12,0.12,0,0,NaN,0,NaN,0,NaN,0,NaN,900,33,0.036666665,35,0.03888889,36,0.04,198,0.22,900,7,0.007777778,18,0.02,18,0.02,18,0.02,100,5,0.05,4,0.04,5,0.05,20,0.2,100,2,0.02,2,0.02,2,0.02,12,0.12,0,0,NaN,0,NaN,0,NaN,0,NaN,9,2,0.22222222,2,0.22222222,2,0.22222222,6,0.6666667,100,0,0,2,0.02,2,0.02,2,0.02,100,0,0,2,0.02,2,0.02,0,0
2,2,2,3618,105,0.02902156,116,0.032061912,135,0.03731343,437,0.12078496,9,8,0.8888889,8,0.8888889,9,1,9,1,900,30,0.033333335,32,0.035555556,36,0.04,106,0.11777778,100,15,0.15,16,0.16,18,0.18,28,0.28,0,0,NaN,0,NaN,0,NaN,0,NaN,300,6,0.02,0,0,6,0.02,36,0.12,100,2,0.02,0,0,2,0.02,12,0.12,0,0,NaN,0,NaN,0,NaN,0,NaN,900,32,0.035555556,32,0.035555556,36,0.04,188,0.20888889,900,6,0.006666667,18,0.02,18,0.02,18,0.02,100,2,0.02,2,0.02,2,0.02,19,0.19,100,2,0.02,2,0.02,2,0.02,12,0.12,0,0,NaN,0,NaN,0,NaN,0,NaN,9,2,0.22222222,2,0.22222222,2,0.22222222,7,0.7777778,100,0,0,2,0.02,2,0.02,2,0.02,100,0,0,2,0.02,2,0.02,0,0
2,2,2,3618,102,0.028192371,125,0.034549475,136,0.03758983,384,0.10613599,9,8,0.8888889,8,0.8888889,9,1,9,1,900,28,0.031111112,36,0.04,36,0.04,82,0.09111111,100,14,0.14,18,0.18,18,0.18,19,0.19,0,0,NaN,0,NaN,0,NaN,0,NaN,300,6,0.02,0,0,6,0.02,33,0.11,100,2,0.02,0,0,2,0.02,11,0.11,0,0,NaN,0,NaN,0,NaN,0,NaN,900,32,0.035555556,34,0.037777778,36,0.04,171,0.19,900,6,0.006666667,18,0.02,18,0.02,18,0.02,100,3,0.03,4,0.04,4,0.04,20,0.2,100,2,0.02,2,0.02,2,0.02,11,0.11,0,0,NaN,0,NaN,0,NaN,0,NaN,9,1,0.11111111,1,0.11111111,1,0.11111111,8,0.8888889,100,0,0,2,0.02,2,0.02,2,0.02,100,0,0,2,0.02,2,0.02,0,0
2,2,2,3618,98,0.027086789,122,0.03372029,135,0.03731343,441,0.121890545,9,8,0.8888889,8,0.8888889,9,1,9,1,900,28,0.031111112,34,0.037777778,36,0.04,106,0.11777778,100,14,0.14,17,0.17,18,0.18,28,0.28,0,0,NaN,0,NaN,0,NaN,0,NaN,300,6,0.02,0,0,6,0.02,36,0.12,100,2,0.02,0,0,2,0.02,12,0.12,0,0,NaN,0,NaN,0,NaN,0,NaN,900,30,0.033333335,35,0.03888889,36,0.04,194,0.21555555,900,4,0.0044444446,18,0.02,18,0.02,18,0.02,100,2,0.02,2,0.02,2,0.02,19,0.19,100,2,0.02,2,0.02,2,0.02,12,0.12,0,0,NaN,0,NaN,0,NaN,0,NaN,9,2,0.22222222,2,0.22222222,2,0.22222222,5,0.5555556,100,0,0,2,0.02,2,0.02,2,0.02,100,0,0,2,0.02,2,0.02,0,0
2,2,2,3618,116,0.032061912,117,0.03233831,134,0.037037037,436,0.12050857,9,8,0.8888889,8,0.8888889,9,1,9,1,900,36,0.04,32,0.035555556,36,0.04,106,0.11777778,100,18,0.18,16,0.16,18,0.18,28,0.28,0,0,NaN,0,NaN,0,NaN,0,NaN,300,6,0.02,0,0,6,0.02,36,0.12,100,2,0.02,0,0,2,0.02,12,0.12,0,0,NaN,0,NaN,0,NaN,0,NaN,900,31,0.034444444,32,0.035555556,34,0.037777778,186,0.20666666,900,7,0.007777778,18,0.02,18,0.02,18,0.02,100,3,0.03,3,0.03,3,0.03,20,0.2,100,2,0.02,2,0.02,2,0.02,12,0.12,0,0,NaN,0,NaN,0,NaN,0,NaN,9,2,0.22222222,2,0.22222222,2,0.22222222,7,0.7777778,100,1,0.01,2,0.02,2,0.02,2,0.02,100,0,0,2,0.02,2,0.02,0,0
2,2,2,3618,101,0.027915975,117,0.03233831,135,0.03731343,437,0.12078496,9,8,0.8888889,8,0.8888889,9,1,9,1,900,28,0.031111112,32,0.035555556,36,0.04,106,0.11777778,100,14,0.14,16,0.16,18,0.18,28,0.28,0,0,NaN,0,NaN,0,NaN,0,NaN,300,6,0.02,0,0,6,0.02,36,0.12,100,2,0.02,0,0,2,0.02,12,0.12,0,0,NaN,0,NaN,0,NaN,0,NaN,900,31,0.034444444,33,0.036666665,36,0.04,188,0.20888889,900,5,0.0055555557,18,0.02,18,0.02,18,0.02,100,2,0.02,2,0.02,2,0.02,19,0.19,100,2,0.02,2,0.02,2,0.02,12,0.12,0,0,NaN,0,NaN,0,NaN,0,NaN,9,2,0.22222222,2,0.22222222,2,0.22222222,7,0.7777778,100,1,0.01,2,0.02,2,0.02,2,0.02,100,0,0,2,0.02,2,0.02,0,0
2,2,2,3618,109,0.030127142,119,0.0328911,135,0.03731343,421,0.11636263,9,9,1,8,0.8888889,9,1,9,1,900,28,0.031111112,34,0.037777778,36,0.04,82,0.09111111,100,14,0.14,17,0.17,18,0.18,28,0.28,0,0,NaN,0,NaN,0,NaN,0,NaN,300,6,0.02,0,0,6,0.02,36,0.12,100,2,0.02,0,0,2,0.02,12,0.12,0,0,NaN,0,NaN,0,NaN,0,NaN,900,35,0.03888889,32,0.035555556,36,0.04,198,0.22,900,8,0.008888889,18,0.02,18,0.02,18,0.02,100,2,0.02,2,0.02,2,0.02,18,0.18,100,2,0.02,2,0.02,2,0.02,12,0.12,0,0,NaN,0,NaN,0,NaN,0,NaN,9,2,0.22222222,2,0.22222222,2,0.22222222,6,0.6666667,100,1,0.01,2,0.02,2,0.02,2,0.02,100,0,0,2,0.02,2,0.02,0,0
2,2,2,3618,105,0.02902156,126,0.03482587,136,0.03758983,443,0.12244334,9,9,1,8,0.8888889,9,1,9,1,900,28,0.031111112,36,0.04,36,0.04,108,0.12,100,14,0.14,18,0.18,18,0.18,28,0.28,0,0,NaN,0,NaN,0,NaN,0,NaN,300,6,0.02,0,0,6,0.02,36,0.12,100,2,0.02,0,0,2,0.02,12,0.12,0,0,NaN,0,NaN,0,NaN,0,NaN,900,33,0.036666665,35,0.03888889,36,0.04,193,0.21444444,900,6,0.006666667,18,0.02,18,0.02,18,0.02,100,2,0.02,3,0.03,3,0.03,17,0.17,100,2,0.02,2,0.02,2,0.02,12,0.12,0,0,NaN,0,NaN,0,NaN,0,NaN,9,2,0.22222222,2,0.22222222,2,0.22222222,8,0.8888889,100,1,0.01,2,0.02,2,0.02,2,0.02,100,0,0,2,0.02,2,0.02,0,0
2,2,2,3618,116,0.032061912,128,0.03537866,139,0.038419016,445,0.12299613,9,9,1,8,0.8888889,9,1,9,1,900,30,0.033333335,36,0.04,36,0.04,108,0.12,100,15,0.15,18,0.18,18,0.18,28,0.28,0,0,NaN,0,NaN,0,NaN,0,NaN,300,6,0.02,0,0,6,0.02,36,0.12,100,2,0.02,0,0,2,0.02,12,0.12,0,0,NaN,0,NaN,0,NaN,0,NaN,900,35,0.03888889,34,0.037777778,36,0.04,192,0.21333334,900,8,0.008888889,18,0.02,18,0.02,18,0.02,100,6,0.06,6,0.06,6,0.06,23,0.23,100,2,0.02,2,0.02,2,0.02,12,0.12,0,0,NaN,0,NaN,0,NaN,0,NaN,9,2,0.22222222,2,0.22222222,2,0.22222222,5,0.5555556,100,1,0.01,2,0.02,2,0.02,2,0.02,100,0,0,2,0.02,2,0.02,0,0
2,2,2,3618,121,0.03344389,125,0.034549475,138,0.03814262,428,0.118297406,9,9,1,8,0.8888889,9,1,9,1,900,34,0.037777778,34,0.037777778,36,0.04,98,0.10888889,100,17,0.17,17,0.17,18,0.18,28,0.28,0,0,NaN,0,NaN,0,NaN,0,NaN,300,6,0.02,0,0,6,0.02,36,0.12,100,2,0.02,0,0,2,0.02,12,0.12,0,0,NaN,0,NaN,0,NaN,0,NaN,900,35,0.03888889,35,0.03888889,36,0.04,183,0.20333333,900,8,0.008888889,18,0.02,18,0.02,18,0.02,100,5,0.05,5,0.05,5,0.05,22,0.22,100,2,0.02,2,0.02,2,0.02,12,0.12,0,0,NaN,0,NaN,0,NaN,0,NaN,9,2,0.22222222,2,0.22222222,2,0.22222222,8,0.8888889,100,1,0.01,2,0.02,2,0.02,2,0.02,100,0,0,2,0.02,2,0.02,0,0
2,2,2,3618,106,0.029297955,105,0.02902156,134,0.037037037,397,0.10972913,9,8,0.8888889,8,0.8888889,9,1,9,1,900,32,0.035555556,30,0.033333335,36,0.04,88,0.09777778,100,16,0.16,15,0.15,18,0.18,19,0.19,0,0,NaN,0,NaN,0,NaN,0,NaN,300,6,0.02,0,0,6,0.02,33,0.11,100,2,0.02,0,0,2,0.02,11,0.11,0,0,NaN,0,NaN,0,NaN,0,NaN,900,29,0.032222223,25,0.027777778,34,0.037777778,182,0.20222223,900,5,0.0055555557,18,0.02,18,0.02,18,0.02,100,4,0.04,3,0.03,4,0.04,20,0.2,100,2,0.02,1,0.01,2,0.02,11,0.11,0,0,NaN,0,NaN,0,NaN,0,NaN,9,1,0.11111111,1,0.11111111,1,0.11111111,5,0.5555556,100,1,0.01,2,0.02,2,0.02,1,0.01,100,0,0,2,0.02,2,0.02,0,0
2,2,2,3618,112,0.03095633,106,0.029297955,134,0.037037037,397,0.10972913,9,8,0.8888889,8,0.8888889,9,1,9,1,900,32,0.035555556,30,0.033333335,34,0.037777778,90,0.1,100,16,0.16,15,0.15,17,0.17,19,0.19,0,0,NaN,0,NaN,0,NaN,0,NaN,300,6,0.02,0,0,6,0.02,33,0.11,100,2,0.02,0,0,2,0.02,11,0.11,0,0,NaN,0,NaN,0,NaN,0,NaN,900,33,0.036666665,25,0.027777778,36,0.04,180,0.2,900,7,0.007777778,18,0.02,18,0.02,18,0.02,100,5,0.05,4,0.04,5,0.05,20,0.2,100,2,0.02,1,0.01,2,0.02,11,0.11,0,0,NaN,0,NaN,0,NaN,0,NaN,9,1,0.11111111,1,0.11111111,1,0.11111111,5,0.5555556,100,0,0,2,0.02,2,0.02,1,0.01,100,0,0,2,0.02,2,0.02,0,0
2,2,2,3618,106,0.029297955,106,0.029297955,133,0.03676064,398,0.11000553,9,8,0.8888889,8,0.8888889,9,1,9,1,900,30,0.033333335,30,0.033333335,34,0.037777778,90,0.1,100,15,0.15,15,0.15,17,0.17,19,0.19,0,0,NaN,0,NaN,0,NaN,0,NaN,300,6,0.02,0,0,6,0.02,33,0.11,100,2,0.02,0,0,2,0.02,11,0.11,0,0,NaN,0,NaN,0,NaN,0,NaN,900,32,0.035555556,26,0.028888889,36,0.04,181,0.20111111,900,6,0.006666667,18,0.02,18,0.02,18,0.02,100,4,0.04,3,0.03,4,0.04,20,0.2,100,2,0.02,1,0.01,2,0.02,11,0.11,0,0,NaN,0,NaN,0,NaN,0,NaN,9,1,0.11111111,1,0.11111111,1,0.11111111,5,0.5555556,100,0,0,2,0.02,2,0.02,1,0.01,100,0,0,2,0.02,2,0.02,0,0
2,2,2,3618,114,0.03150912,122,0.03372029,137,0.037866224,429,0.1185738,9,9,1,8,0.8888889,9,1,9,1,900,30,0.033333335,34,0.037777778,36,0.04,98,0.10888889,100,15,0.15,17,0.17,18,0.18,28,0.28,0,0,NaN,0,NaN,0,NaN,0,NaN,300,6,0.02,0,0,6,0.02,36,0.12,100,2,0.02,0,0,2,0.02,12,0.12,0,0,NaN,0,NaN,0,NaN,0,NaN,900,35,0.03888889,33,0.036666665,36,0.04,184,0.20444444,900,8,0.008888889,18,0.02,18,0.02,18,0.02,100,4,0.04,4,0.04,4,0.04,22,0.22,100,2,0.02,2,0.02,2,0.02,12,0.12,0,0,NaN,0,NaN,0,NaN,0,NaN,9,2,0.22222222,2,0.22222222,2,0.22222222,8,0.8888889,100,1,0.01,2,0.02,2,0.02,2,0.02,100,0,0,2,0.02,2,0.02,0,0
2,2,2,3618,108,0.029850746,106,0.029297955,136,0.03758983,401,0.11083472,9,8,0.8888889,8,0.8888889,9,1,9,1,900,30,0.033333335,30,0.033333335,36,0.04,94,0.104444444,100,15,0.15,15,0.15,18,0.18,19,0.19,0,0,NaN,0,NaN,0,NaN,0,NaN,300,6,0.02,0,0,6,0.02,33,0.11,100,2,0.02,0,0,2,0.02,11,0.11,0,0,NaN,0,NaN,0,NaN,0,NaN,900,33,0.036666665,26,0.028888889,36,0.04,180,0.2,900,7,0.007777778,18,0.02,18,0.02,18,0.02,100,3,0.03,3,0.03,4,0.04,20,0.2,100,2,0.02,1,0.01,2,0.02,11,0.11,0,0,NaN,0,NaN,0,NaN,0,NaN,9,1,0.11111111,1,0.11111111,1,0.11111111,5,0.5555556,100,1,0.01,2,0.02,2,0.02,1,0.01,100,0,0,2,0.02,2,0.02,0,0
2,2,2,3618,113,0.031232726,124,0.03427308,135,0.03731343,382,0.1055832,9,9,1,8,0.8888889,9,1,9,1,900,30,0.033333335,36,0.04,36,0.04,84,0.093333334,100,15,0.15,18,0.18,18,0.18,19,0.19,0,0,NaN,0,NaN,0,NaN,0,NaN,300,6,0.02,0,0,6,0.02,33,0.11,100,2,0.02,0,0,2,0.02,11,0.11,0,0,NaN,0,NaN,0,NaN,0,NaN,900,35,0.03888889,33,0.036666665,35,0.03888889,170,0.18888889,900,8,0.008888889,18,0.02,18,0.02,17,0.018888889,100,4,0.04,4,0.04,4,0.04,18,0.18,100,2,0.02,2,0.02,2,0.02,11,0.11,0,0,NaN,0,NaN,0,NaN,0,NaN,9,1,0.11111111,1,0.11111111,1,0.11111111,8,0.8888889,100,1,0.01,2,0.02,2,0.02,2,0.02,100,0,0,2,0.02,2,0.02,0,0
2,2,2,3618,122,0.03372029,127,0.035102267,138,0.03814262,417,0.11525705,9,9,1,8,0.8888889,9,1,9,1,900,34,0.037777778,36,0.04,36,0.04,94,0.104444444,100,17,0.17,18,0.18,18,0.18,28,0.28,0,0,NaN,0,NaN,0,NaN,0,NaN,300,6,0.02,0,0,6,0.02,36,0.12,100,2,0.02,0,0,2,0.02,12,0.12,0,0,NaN,0,NaN,0,NaN,0,NaN,900,35,0.03888889,33,0.036666665,35,0.03888889,180,0.2,900,8,0.008888889,18,0.02,18,0.02,17,0.018888889,100,6,0.06,6,0.06,6,0.06,21,0.21,100,2,0.02,2,0.02,2,0.02,12,0.12,0,0,NaN,0,NaN,0,NaN,0,NaN,9,2,0.22222222,2,0.22222222,2,0.22222222,6,0.6666667,100,1,0.01,2,0.02,2,0.02,2,0.02,100,0,0,2,0.02,2,0.02,0,0
